Change #,Page,ChangeType,Old Text,New Text,X,Y,W,H
24,1,Deleted,TS,,2729.169921875,2289.0673828125,11.3056640625,11.258544921875
25,1,Deleted,ST,,2767.169921875,2289.0673828125,11.3056640625,11.258544921875
26,1,Deleted,18/04/2022,,2267.639892578125,2303.16748046875,56.5283203125,11.258544921875
27,1,Deleted,B1,,2350.89990234375,2303.16748046875,11.3056640625,11.258544921875
28,1,Deleted,CO-0001454,,2388.8701171875,2303.16748046875,56.5283203125,11.258544921875
29,1,Deleted,-,,2464.989990234375,2303.16748046875,5.65283203125,11.258544921875
30,1,Deleted,CHANGES HIGHLIGHTED IN VOILET COLOR,,2500.139892578125,2303.16748046875,197.84912109375,11.258544921875
31,1,Deleted,MP,,2729.169921875,2303.16748046875,11.3056640625,11.258544921875
32,1,Deleted,NB,,2767.169921875,2303.16748046875,11.3056640625,11.258544921875
33,1,Deleted,04/03/2022,,2267.639892578125,2317.257568359375,56.5283203125,11.258544921875
34,1,Deleted,-,,2414.320068359375,2317.257568359375,5.65283203125,11.258544921875
35,1,Deleted,-,,2464.989990234375,2317.257568359375,5.65283203125,11.258544921875
36,1,Deleted,PS,,2729.169921875,2317.257568359375,11.3056640625,11.258544921875
37,1,Deleted,NB,,2767.169921875,2317.257568359375,11.3056640625,11.258544921875
38,1,Deleted,REAR FRONT I/C,,2087.590087890625,1131.51318359375,96.41748046875,13.716552734375
39,1,Deleted,50,,733.6699829101562,546.9490966796875,17.2171630859375,17.14569091796875
40,1,Deleted,100,,726.9099731445312,414.3190612792969,25.82574462890625,17.14569091796875
41,1,Deleted,PLC BOX I/C,,547.6300048828125,266.0391540527344,94.69439697265625,17.14569091796875
42,1,Deleted,TE Connectivity,,533.6799926757812,289.2591247558594,129.12872314453125,17.14569091796875
43,1,Deleted,929505-3,,533.6799926757812,306.3990173339844,68.86865234375,17.14569091796875
44,1,Added,,150,654.3300170898438,479.5490417480469,25.82574462890625,17.14569091796875
45,1,Added,,10/04/25,2818.360107421875,2255.487548828125,49.171875,12.241943359375
46,1,Added,,GURUDUTT BAGHA,2808.199951171875,2271.6376953125,86.05078125,12.241943359375
47,1,Added,,KAPIL KAMBOJ,2921.659912109375,2271.017578125,73.7578125,12.241943359375
48,1,Added,,12MT TARMAC,2816.8701171875,2304.03759765625,67.611328125,12.241943359375
49,1,Added,,211,2841.4599609375,2316.28759765625,18.439453125,12.241943359375
50,1,Added,,JBM ELECTRIC,2933.2099609375,2201.0390625,103.3037109375,17.145751953125
51,1,Added,,VEHICLE PVT LTD,2933.2099609375,2218.178955078125,129.129638671875,17.145751953125
52,1,Added,,10/04/25,2922.3798828125,2254.587646484375,49.171875,12.241943359375
53,1,Added,,WH-03856-000,3197.60009765625,2306.49462890625,118.0400390625,19.591552734375
54,1,Added,,M.J.,3039.090087890625,2270.927734375,24.5859375,12.241943359375
55,1,Added,,10/04/25,3027.260009765625,2255.40771484375,49.171875,12.241943359375
56,1,Added,,10/04/25,2272.669921875,2315.70751953125,45.22265625,11.258544921875
57,1,Added,,KK,2728.5400390625,2315.70751953125,11.3056640625,11.258544921875
58,1,Added,,MJ,2766.5400390625,2315.70751953125,11.3056640625,11.258544921875
59,1,Added,,REAR PANEL-LH ROOF I/C,2087.590087890625,1131.51318359375,151.51318359375,13.716552734375
60,2,Deleted,R32,,57.279998779296875,151.3378143310547,18.43926239013672,12.241790771484375
61,2,Deleted,NAIO4,,106.4000015258789,151.3378143310547,30.73210906982422,12.241790771484375
62,2,Deleted,7,,213.44000244140625,151.3378143310547,6.14642333984375,12.241790771484375
63,2,Deleted,NAIO4,,294.3800048828125,151.3378143310547,30.73211669921875,12.241790771484375
64,2,Deleted,1,,482.010009765625,151.3378143310547,6.14642333984375,12.241790771484375
65,2,Deleted,FAN I/C,,558.5399780273438,151.3378143310547,43.02496337890625,12.241790771484375
66,2,Deleted,GREEN/RED,,622.1699829101562,151.3378143310547,55.31781005859375,12.241790771484375
67,2,Deleted,2,,714.6199951171875,151.3378143310547,6.14642333984375,12.241790771484375
68,2,Deleted,PASSENGER & DRIVER FAN,,754.1699829101562,151.3378143310547,135.2213134765625,12.241790771484375
69,2,Deleted,FAN I/C,,351.30999755859375,166.4177703857422,43.02496337890625,12.241790771484375
70,2,Deleted,"25,26,27,28",,482.010009765625,347.35784912109375,67.61065673828125,12.24176025390625
71,2,Deleted,"OUTPUT SUPPLY TO 25,26,27,28",,754.1699829101562,347.35784912109375,172.099853515625,12.24176025390625
72,2,Deleted,101T,,57.279998779296875,377.50787353515625,24.58568572998047,12.24176025390625
73,2,Deleted,1,,482.010009765625,377.50787353515625,6.14642333984375,12.24176025390625
74,2,Deleted,BLACK,,622.1699829101562,377.50787353515625,30.73211669921875,12.24176025390625
75,2,Deleted,2,,714.6199951171875,377.50787353515625,6.14642333984375,12.24176025390625
76,2,Deleted,GROUND,,754.1699829101562,377.50787353515625,36.8785400390625,12.24176025390625
77,2,Deleted,R16,,57.279998779296875,392.58782958984375,18.43926239013672,12.24176025390625
78,2,Deleted,6,,213.44000244140625,392.58782958984375,6.14642333984375,12.24176025390625
79,2,Deleted,2,,482.010009765625,392.58782958984375,6.14642333984375,12.24176025390625
80,2,Deleted,GREY/PINK,,622.1699829101562,392.58782958984375,55.31781005859375,12.24176025390625
81,2,Deleted,AIR COMPRESSOR MOTOR CONTACTOR,,754.1699829101562,392.58782958984375,184.3927001953125,12.24176025390625
82,2,Deleted,R17,,57.279998779296875,407.66778564453125,18.43926239013672,12.24176025390625
83,2,Deleted,NAIO2,,106.4000015258789,407.66778564453125,30.73210906982422,12.24176025390625
84,2,Deleted,NAIO2,,294.3800048828125,407.66778564453125,30.73211669921875,12.24176025390625
85,2,Deleted,3,,482.010009765625,407.66778564453125,6.14642333984375,12.24176025390625
86,2,Deleted,BCSIC,,558.5399780273438,407.66778564453125,30.73211669921875,12.24176025390625
87,2,Deleted,GREY/ORANGE,,622.1699829101562,407.66778564453125,67.61065673828125,12.24176025390625
88,2,Deleted,1,,714.6199951171875,407.66778564453125,6.14642333984375,12.24176025390625
89,2,Deleted,POWER STEERING MOTOR CONTACTOR,,754.1699829101562,407.66778564453125,184.3927001953125,12.24176025390625
90,2,Deleted,R27,,57.279998779296875,422.74786376953125,18.43926239013672,12.24176025390625
91,2,Deleted,NAIO3,,106.4000015258789,422.74786376953125,30.73210906982422,12.24176025390625
92,2,Deleted,16,,213.44000244140625,422.74786376953125,12.2928466796875,12.24176025390625
93,2,Deleted,NAIO3,,294.3800048828125,422.74786376953125,30.73211669921875,12.24176025390625
94,2,Deleted,4,,482.010009765625,422.74786376953125,6.14642333984375,12.24176025390625
